[13-Dec-2013 17:55:52 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[13-Dec-2013 17:56:01 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[13-Dec-2013 17:56:03 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[13-Dec-2013 17:57:13 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[13-Dec-2013 17:57:17 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[13-Dec-2013 17:57:29 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[13-Dec-2013 17:57:38 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[13-Dec-2013 17:57:40 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[13-Dec-2013 17:57:42 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[13-Dec-2013 17:57:44 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[13-Dec-2013 17:57:50 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[13-Dec-2013 17:58:28 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[13-Dec-2013 18:27:05 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[13-Dec-2013 18:27:07 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[13-Dec-2013 18:27:41 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[13-Dec-2013 18:27:56 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[13-Dec-2013 18:27:57 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[13-Dec-2013 18:27:57 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[13-Dec-2013 18:28:50 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[13-Dec-2013 18:30:10 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[13-Dec-2013 18:31:00 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
